symptom,indikation,pflanze,channel,matches
Angst,nervöse Unruhe,Johanniskraut,evidenz_basiert,2
Blähungen,vermehrte Schweißsekretion,Salbei,evidenz_basiert,2
Einschlafstörungen,nervöse Unruhe,Johanniskraut,traditionell_hmpc,2
Hitzewallungen,vermehrte Schweißsekretion,Salbei,evidenz_basiert,2
Husten,Erkältungskrankheiten,Linde,evidenz_basiert,2
Magen-Darm-Beschwerden,nervöse Unruhe,Johanniskraut,traditionell_hmpc,2
Miktionsbeschwerden,Reizblase,Kürbis,evidenz_basiert,2
Muskelschmerzen,Verstauchungen,Arnika,evidenz_basiert,2
Sodbrennen,vermehrte Schweißsekretion,Salbei,traditionell_hmpc,2
Sonnenbrand,kleine Wunden,Ringelblume,traditionell_hmpc,2
depressive Verstimmung,nervöse Unruhe,Johanniskraut,evidenz_basiert,2
häufige Blasenentleerung,Reizblase,Kürbis,evidenz_basiert,2
leichte Entzündungen der Haut,kleine Wunden,Ringelblume,traditionell_hmpc,2
leichte Muskel- und Gelenkschmerzen,dyspeptische Beschwerden,Rosmarin,traditionell_hmpc,2
leichte krampfartige Magen-Darm-Beschwerden,dyspeptische Beschwerden,Rosmarin,traditionell_hmpc,2
nächtlicher Harndrang,Reizblase,Kürbis,evidenz_basiert,2
nächtlicher und unwillkürlicher Harnabgang,Reizblase,Kürbis,evidenz_basiert,2
schmerzhaftes Wasserlassen,Reizblase,Kürbis,evidenz_basiert,2
übermäßiges Schwitzen,vermehrte Schweißsekretion,Salbei,evidenz_basiert,2
Angespanntheit,Einschlafstörungen,Passionsblume,evidenz_basiert,1
Angespanntheit,Reizbarkeit,Passionsblume,evidenz_basiert,1
Angespanntheit,Schlafhilfe,Passionsblume,evidenz_basiert,1
Angespanntheit,nervöse Unruhezustände,Passionsblume,evidenz_basiert,1
Angst,leichte depressive Episoden,Johanniskraut,evidenz_basiert,1
Angst,leichte depressive Verstimmung,Johanniskraut,evidenz_basiert,1
Angst,leichte und mittelschwere Depressionen,Johanniskraut,evidenz_basiert,1
Angst,mentale Erschöpfungszustände,Johanniskraut,evidenz_basiert,1
Angst,psychovegetative Störungen,Johanniskraut,evidenz_basiert,1
Angst,zeitweilige mentale Erschöpfung,Johanniskraut,evidenz_basiert,1
Angstzustände,Nervosität,Hopfen,evidenz_basiert,1
Angstzustände,Schlafstörungen,Hopfen,evidenz_basiert,1
Angstzustände,Unruhe,Hopfen,evidenz_basiert,1
Appetitlosigkeit,Behandlung leichter krampfartiger Beschwerden im Magen-Darm-Bereich,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,Behandlung leichter krampfartiger Beschwerden im Magen-Darm-Bereich,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,Besserung leichter Verdauungsbeschwerden,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,Besserung von Verdauungsstörungen,Teufelskralle,traditionell_hmpc,1
Appetitlosigkeit,Pelvipathia vegetativa,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,dyspeptische Beschwerden,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,dyspeptische Beschwerden,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,dyspeptische Beschwerden,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,dyspeptische Beschwerden,Teufelskralle,evidenz_basiert,1
Appetitlosigkeit,dyspeptische Beschwerden,Teufelskralle,traditionell_hmpc,1
Appetitlosigkeit,krampfartige Beschwerden im Unterleib,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,krampfartige Beschwerden im Unterleib,Schafgarbe,traditionell_hmpc,1
